_ID,avg_SedentaryMinutes,avg_LightlyActiveMinutes,avg_FairlyActiveMinutes,avg_VeryActiveMinutes,avg_SedentaryActiveDistance,avg_LightActiveDistance,avg_ModeratActiveDistance,avg_veryActiveDistance
1503960366,848.1612903,219.9354839,19.16129032,38.70967742,0,4.152903226,0.7941935484,2.858387097
1624580081,1257.741935,153.483871,5.806451613,8.677419355,0.00612903212,2.606774194,0.3606451613,0.9393548387
1644430081,1161.866667,178.4666667,21.36666667,9.566666667,0.00399999991,3.609,0.951,0.73
1844505072,1206.612903,115.4516129,1.290322581,0.1290322581,0,1.647419355,0.04903225806,0.008387096774
1927972279,1317.419355,38.58064516,0.7741935484,1.322580645,0,0.5070967742,0.03129032258,0.09580645161
2022484408,1112.580645,257.4516129,19.35483871,36.29032258,0,4.942580645,0.72,2.421612903
2026352035,689.4193548,256.6451613,0.2580645161,0.09677419355,0,3.436129032,0.01129032258,0.006129032258
2320127002,1220.096774,198.1935484,2.580645161,1.35483871,0,2.980322581,0.09774193548,0.1067741935
2347167796,687.1666667,252.5,20.55555556,13.5,0,4.221666667,1.075,1.059444444
2873212765,1097.193548,308,6.129032258,14.09677419,0.005161290207,4.143548387,0.2761290323,0.6761290323
3372868164,1077.55,327.9,4.1,9.15,0.01099999975,3.91,0.153,0.6295
3977333714,707.5333333,174.7666667,61.26666667,18.9,0,3.134333333,2.751,1.615
4020332650,1237.258065,76.93548387,5.35483871,5.193548387,0.005483870966,1.308387097,0.1296774194,0.1422580645
4057192912,1217.25,103,1.5,0.75,0,2.6875,0.065,0.0525
4319703577,735.8064516,228.7741935,12.32258065,3.580645161,0,3.768709677,0.5022580645,0.2780645161
4388161847,836.6774194,229.3548387,20.35483871,23.16129032,0,5.396129032,0.9019354839,1.719354839
4445114986,829.9032258,209.0967742,1.741935484,6.612903226,0,2.64483871,0.07548387097,0.5232258065
4558609924,1093.612903,284.9677419,13.70967742,10.38709677,0,3.847741935,0.6822580645,0.5493548387
4702921684,766.4193548,237.483871,26.03225806,5.129032258,0,5.225483871,1.30483871,0.4174193548
5553957443,668.3548387,206.1935484,13,23.41935484,0,3.504516129,0.6690322581,1.464193548
5577150313,754.4333333,147.9333333,29.83333333,87.33333333,0,2.428,0.658,3.113666667
6117666160,796.2857143,288.3571429,2.035714286,1.571428571,0,4.843214286,0.08392857143,0.1282142857
6290855005,1193.034483,227.4482759,3.793103448,2.75862069,0.008620689462,4.04862069,0.1282758621,0.08551724138
6775888955,1299.423077,40.15384615,14.80769231,11,0,0.7115384615,0.3842307692,0.7092307692
6962181067,662.3225806,245.8064516,18.51612903,22.80645161,0.006774193577,4.001612903,0.96,1.616451613
7007744171,1055.346154,280.7307692,16.26923077,31.03846154,0.0007692307519,4.861538462,0.7384615385,2.415
7086361926,850.4516129,143.8387097,25.35483871,42.58064516,0,2.818709677,0.7732258065,2.781290323
8053475328,1148,150.9677419,9.580645161,85.16129032,0,2.533870968,0.4238709677,8.51483871
8253242879,1287.368421,116.8947368,14.31578947,20.52631579,0.0005263157777,1.754736842,0.6957894737,2.214210526
8378563200,716.1290323,156.0967742,10.25806452,58.67741935,0,3.889354839,0.5190322581,2.503548387
8583815059,1267.225806,138.2903226,22.19354839,9.677419355,0,2.617419355,1.020645161,0.7980645161
8792009665,1060.482759,91.79310345,4.034482759,0.9655172414,0,1.103448276,0.05827586207,0.02482758621
8877689391,1112.870968,234.7096774,9.935483871,66.06451613,0.005161290328,6.188709677,0.3377419355,6.637419355
